rank,team,points,previous_points,confederation,ranking_date
1,Argentina,1877.27,1874.81,CONMEBOL,2026/6/11
2,Spain,1874.71,1876.4,UEFA,2026/6/11
3,France,1870.7,1877.32,UEFA,2026/6/11
4,England,1828.02,1825.97,UEFA,2026/6/11
5,Portugal,1767.85,1763.83,UEFA,2026/6/11
6,Brazil,1765.86,1761.16,CONMEBOL,2026/6/11
7,Morocco,1755.1,1755.87,CAF,2026/6/11
8,Netherlands,1753.57,1757.87,UEFA,2026/6/11
9,Belgium,1742.24,1734.71,UEFA,2026/6/11
10,Germany,1735.77,1730.37,UEFA,2026/6/11
11,Croatia,1714.87,1717.07,UEFA,2026/6/11
12,Italy,1704.73,1700.37,UEFA,2026/6/11
13,Colombia,1698.35,1693.09,CONMEBOL,2026/6/11
14,Mexico,1687.48,1681.03,CONCACAF,2026/6/11
15,Senegal,1684.07,1688.99,CAF,2026/6/11
16,Uruguay,1673.07,1673.07,CONMEBOL,2026/6/11
17,United States,1671.23,1673.13,CONCACAF,2026/6/11
18,Japan,1661.58,1660.43,AFC,2026/6/11
19,Switzerland,1650.06,1649.4,UEFA,2026/6/11
20,IR Iran,1619.58,1615.3,AFC,2026/6/11
21,Denmark,1619.47,1620.81,UEFA,2026/6/11
22,Türkiye,1605.73,,,2026/6/11
23,Ecuador,1598.52,1594.78,CONMEBOL,2026/6/11
24,Austria,1597.4,1593.45,UEFA,2026/6/11
25,Korea Republic,1591.63,1588.66,AFC,2026/6/11
26,Nigeria,1585.02,1585.09,CAF,2026/6/11
27,Australia,1579.34,1580.67,AFC,2026/6/11
28,Algeria,1571.03,1564.26,CAF,2026/6/11
29,Egypt,1562.37,1563.24,CAF,2026/6/11
30,Canada,1559.48,1556.48,CONCACAF,2026/6/11
31,Norway,1557.44,1550.94,UEFA,2026/6/11
32,Ukraine,1549.29,1546.88,UEFA,2026/6/11
33,Côte d'Ivoire,1540.87,1532.98,CAF,2026/6/11
34,Panama,1539.16,1540.64,CONCACAF,2026/6/11
35,Russia,1529.6,1525.6,UEFA,2026/6/11
36,Poland,1526.18,1528,UEFA,2026/6/11
37,Wales,1516.95,1524.29,UEFA,2026/6/11
38,Sweden,1509.79,1514.77,UEFA,2026/6/11
39,Hungary,1506.39,1500.58,UEFA,2026/6/11
40,Czechia,1505.74,1501.38,UEFA,2026/6/11
41,Paraguay,1505.35,1503.5,CONMEBOL,2026/6/11
42,Scotland,1503.34,1498.35,UEFA,2026/6/11
43,Serbia,1502.13,1508.65,UEFA,2026/6/11
44,Cameroon,1481.24,1481.24,CAF,2026/6/11
45,Tunisia,1476.41,1483.05,CAF,2026/6/11
46,Congo DR,1474.43,1478.35,CAF,2026/6/11
47,Slovakia,1473.66,1473.94,UEFA,2026/6/11
48,Greece,1473.19,1475.82,UEFA,2026/6/11
49,Venezuela,1469.18,1468.05,CONMEBOL,2026/6/11
50,Uzbekistan,1458.73,1465.34,AFC,2026/6/11
51,Chile,1458.2,1455.28,CONMEBOL,2026/6/11
52,Peru,1457.69,1455.87,CONMEBOL,2026/6/11
53,Costa Rica,1456.03,1459.9,CONCACAF,2026/6/11
54,Romania,1455.89,1451.16,UEFA,2026/6/11
55,Mali,1455.59,1459.13,CAF,2026/6/11
56,Qatar,1450.31,1454.96,AFC,2026/6/11
57,Iraq,1446.28,1447.14,AFC,2026/6/11
58,Republic of Ireland,1441.1,1436.63,UEFA,2026/6/11
59,Slovenia,1441.09,1446.44,UEFA,2026/6/11
60,South Africa,1428.38,1429.73,CAF,2026/6/11
61,Saudi Arabia,1423.88,1421.43,AFC,2026/6/11
62,Burkina Faso,1406.99,1412.49,CAF,2026/6/11
63,Jordan,1387.74,1391.45,AFC,2026/6/11
64,Bosnia and Herzegovina,1387.22,1385.84,UEFA,2026/6/11
65,Honduras,1378.97,1380.27,CONCACAF,2026/6/11
66,Albania,1376.03,1388.06,UEFA,2026/6/11
67,Cabo Verde,1371.11,1366.13,CAF,2026/6/11
68,United Arab Emirates,1370.47,1370.47,AFC,2026/6/11
69,North Macedonia,1369.16,1372.04,UEFA,2026/6/11
70,Northern Ireland,1365.3,1362.16,UEFA,2026/6/11
71,Jamaica,1357.84,1358,CONCACAF,2026/6/11
72,Georgia,1355.26,1350.18,UEFA,2026/6/11
73,Ghana,1346.88,1346.31,CAF,2026/6/11
74,Iceland,1342.77,1345.07,UEFA,2026/6/11
75,Finland,1341.92,1346.41,UEFA,2026/6/11
76,Israel,1333.9,1328.33,UEFA,2026/6/11
77,Bolivia,1326,1329.42,CONMEBOL,2026/6/11
78,Kosovo,1319.12,1318.83,UEFA,2026/6/11
79,Oman,1306.9,1313.46,AFC,2026/6/11
80,Montenegro,1301.98,1295.52,UEFA,2026/6/11
81,Guinea,1295.6,1300.01,CAF,2026/6/11
82,Curaçao,1294.77,1294.65,CONCACAF,2026/6/11
83,Haiti,1293.1,1291.71,CONCACAF,2026/6/11
84,Syria,1283.05,1288.56,AFC,2026/6/11
85,New Zealand,1275.58,1281.57,OFC,2026/6/11
86,Gabon,1272.51,1272.51,CAF,2026/6/11
87,Bulgaria,1271.68,1278.9,UEFA,2026/6/11
88,Angola,1265.58,1263.1,CAF,2026/6/11
89,Uganda,1264.09,1264.09,CAF,2026/6/11
90,Zambia,1255.82,1255.82,CAF,2026/6/11
91,China PR,1254.81,1251.6,AFC,2026/6/11
92,Bahrain,1254.41,1258.53,AFC,2026/6/11
93,Benin,1252.17,1258.98,CAF,2026/6/11
94,Thailand,1250.8,1252.14,AFC,2026/6/11
95,Palestine,1243.71,1244.73,AFC,2026/6/11
96,Belarus,1242.88,1235.82,UEFA,2026/6/11
97,Guatemala,1238.74,1243.47,CONCACAF,2026/6/11
98,Luxembourg,1232.82,1227.77,UEFA,2026/6/11
99,Vietnam,1225.68,1225.68,AFC,2026/6/11
100,El Salvador,1225.34,1225.26,CONCACAF,2026/6/11
101,Tajikistan,1224.19,1221.78,AFC,2026/6/11
102,Trinidad and Tobago,1219.59,1222.94,CONCACAF,2026/6/11
103,Mozambique,1218.62,1224.31,CAF,2026/6/11
104,Madagascar,1202.69,1203.76,CAF,2026/6/11
105,Equatorial Guinea,1195.2,1195.2,CAF,2026/6/11
106,Kyrgyz Republic,1192.16,1191.14,AFC,2026/6/11
107,Armenia,1189.63,1191.42,UEFA,2026/6/11
108,Comoros,1187.91,1187.91,CAF,2026/6/11
109,Kenya,1185.08,1182.23,CAF,2026/6/11
110,Libya,1182.08,1182.08,CAF,2026/6/11
111,Kazakhstan,1180.78,1182.96,UEFA,2026/6/11
112,Tanzania,1180.27,1180.27,CAF,2026/6/11
113,Mauritania,1176.68,1170.72,CAF,2026/6/11
114,Niger,1175.33,1179.66,CAF,2026/6/11
115,Lebanon,1172.22,1187.96,AFC,2026/6/11
116,The Gambia,1159.64,1160.38,CAF,2026/6/11
117,Sudan,1157.22,1157.22,CAF,2026/6/11
118,Indonesia,1157.14,1144.88,AFC,2026/6/11
119,Togo,1152.76,1147.31,CAF,2026/6/11
120,Korea DPR,1151.05,1151.05,AFC,2026/6/11
121,Namibia,1148.84,1148.84,CAF,2026/6/11
122,Sierra Leone,1147.56,1148.98,CAF,2026/6/11
123,Faroe Islands,1136.59,1137.14,UEFA,2026/6/11
124,Cyprus,1133.25,1128.33,UEFA,2026/6/11
125,Suriname,1132.43,1132.43,CONCACAF,2026/6/11
126,Azerbaijan,1132,1136.67,UEFA,2026/6/11
127,Estonia,1130.64,1121.1,UEFA,2026/6/11
128,Rwanda,1126.62,1126.62,CAF,2026/6/11
129,Malawi,1122.05,1128.03,CAF,2026/6/11
130,Zimbabwe,1119.78,1118.12,CAF,2026/6/11
131,Nicaragua,1114.63,1115.13,CONCACAF,2026/6/11
132,Guinea-Bissau,1108.38,1108.38,CAF,2026/6/11
133,Kuwait,1106.47,1105.1,AFC,2026/6/11
134,Congo,1105.96,1105.96,CAF,2026/6/11
135,Philippines,1100.95,1094.1,AFC,2026/6/11
136,Malaysia,1086.22,1086.22,AFC,2026/6/11
137,Latvia,1085.66,1090.57,UEFA,2026/6/11
138,India,1084.93,1091.03,AFC,2026/6/11
139,Central African Republic,1080.82,1083.57,CAF,2026/6/11
140,Liberia,1080.44,1079.02,CAF,2026/6/11
141,Turkmenistan,1078.65,1078.65,AFC,2026/6/11
142,Burundi,1078.01,1078.01,CAF,2026/6/11
143,Ethiopia,1077.52,1071.55,CAF,2026/6/11
144,Dominican Republic,1076.5,1077.95,CONCACAF,2026/6/11
145,Yemen,1065.24,1049.49,AFC,2026/6/11
146,Lesotho,1064.29,1067.13,CAF,2026/6/11
147,Botswana,1063.63,1063.63,CAF,2026/6/11
148,Singapore,1057.95,1059.53,AFC,2026/6/11
149,Lithuania,1056.85,1058.42,UEFA,2026/6/11
150,Guyana,1049.32,1049.32,CONCACAF,2026/6/11